"","account_active_days","koen","permission_given_order","previous_subscriptions","previous_campaigns","previous_trials","newsletters_before_order","newsletters_after_order","age","aktivitet_midt_10","aktivitet_slut_10","aktivitet_start_10","avg_scroll_depth","forskellige_artikler","restricted_share","andet","debat","erhverv","indland","international","kultur","livsstil","politik","sport","udland","churn_binary"
"908",1180,"Mand","TRUE",4,1,1,0,0,60,173,214,215,0.421507064364207,343,0.376766091051805,337,18,62,80,65,27,17,14,14,3,"Yes"
"909",801,"Mand","FALSE",4,2,2,0,0,43,113,115,100,0.391566265060241,199,0.358433734939759,164,36,23,53,10,28,5,9,4,0,"Yes"
"910",871,"Mand","FALSE",8,6,1,0,0,79,223,129,250,0.370431893687708,284,0.284053156146179,331,63,37,54,79,5,0,23,10,0,"No"
"911",700,"Mand","FALSE",4,4,0,0,0,50,109,114,85,0.208074534161491,100,0.183229813664596,224,4,13,14,46,5,3,13,0,0,"No"
"912",160,"Mand","FALSE",2,1,1,0,0,31,11,13,26,0.325892857142857,30,0.25,29,4,8,2,8,3,0,2,0,0,"No"
"913",61,"Mand","FALSE",0,0,0,0,0,25,0,2,9,0.5,6,0.272727272727273,5,0,0,6,0,0,0,0,0,0,"No"
"914",1807,"Mand","FALSE",1,0,0,0,0,67,1,30,23,0.194444444444444,11,0.0555555555555555,36,1,2,14,1,0,0,0,0,0,"Yes"
"915",1039,"Mand","FALSE",5,2,2,0,0,68,49,65,139,0.183768656716418,112,0.246268656716418,174,4,15,30,26,12,3,4,0,0,"Yes"
"916",175,"Kvinde","FALSE",0,0,0,0,0,69,274,184,310,0.233912483912484,274,0.231660231660232,508,42,31,74,66,26,9,18,3,0,"No"
"917",98,"Mand","FALSE",2,0,1,0,0,42,192,182,181,0.355992844364937,212,0.254025044722719,325,15,35,52,96,10,0,26,0,0,"No"
"918",61,"Mand","FALSE",0,0,0,0,1,52,69,120,150,0.447945205479452,192,0.306849315068493,176,12,12,29,103,4,1,21,7,0,"No"
"919",275,"Mand","FALSE",0,0,0,0,0,53,57,43,56,0.506289308176101,102,0.339622641509434,64,18,15,20,27,0,6,9,0,0,"Yes"
"920",350,"Mand","FALSE",1,1,0,0,0,67,88,0,128,0.375,90,0.25462962962963,136,7,9,21,32,9,0,0,2,0,"Yes"
"921",61,"Mand","FALSE",0,0,0,0,0,86,0,0,22,0.295454545454545,8,0.318181818181818,9,0,0,6,5,0,0,2,0,0,"No"
"922",153,"Kvinde","FALSE",0,0,0,0,0,65,53,28,113,0.318298969072165,81,0.237113402061856,50,6,28,53,24,1,6,15,10,1,"Yes"
"923",398,"Mand","FALSE",1,1,0,0,0,56,199,122,108,0.394077448747153,210,0.332574031890661,241,7,15,47,39,48,30,3,9,0,"No"
"924",371,"Mand","TRUE",0,0,0,0,0,64,267,304,271,0.289719626168224,296,0.237149532710281,589,24,43,54,109,11,8,14,4,0,"Yes"
"925",1738,"Mand","FALSE",14,7,6,0,0,64,99,167,123,0.337595907928389,176,0.278772378516624,229,27,25,22,59,9,6,8,6,0,"No"
"926",1804,"Mand","TRUE",1,0,0,0,1,81,12,0,21,0.75,29,0.636363636363636,3,1,2,5,12,3,0,7,0,0,"Yes"
